director_id,name
803,Ron Underwood
804,Ronald Neame
805,Rose Troche
806,Rospo Pallenberg
807,Rouben Mamoulian
808,Rowdy Herrington
809,Roy Allen Smith
810,Rupert Wainwright
811,Russ Meyer
812,Russell Mulcahy
813,Russell S. Doughten Jr.
814,Rusty Cundieff
815,Sally Potter
816,Sam Peckinpah
817,Sam Raimi
818,Sam Weisman
819,Sam Wood
820,Sammo Kam-Bo Hung
821,Samuel Armstrong
822,Satyajit Ray
823,Savage Steve Holland
824,Scott Hicks
825,Scott Kalvert
826,Scott McGehee
827,Scott Reynolds
828,Scott Winant
829,Sean Mathias
830,Sean McNamara
831,Sean Penn
832,Sean S. Cunningham
833,Sergio Leone
834,Shelly Hatton
835,Shirley Barrett
836,Shuki Levy
837,Sidney Lumet
838,Simon Wells
839,Simon West
840,Simon Wincer
841,Spike Lee
842,Stacy Cochran
843,Stacy Title
844,Stanley Donen
845,Stanley Kubrick
846,Stanley Tong
847,Stanley Tucci
848,Stefan Schwartz
849,Stephan Elliott
850,Stephen Frears
851,Stephen Gyllenhaal
852,Stephen Herek
853,Stephen Hopkins
854,Stephen Judson
855,Stephen Kessler
856,Stephen King
857,Stephen Sommers
858,Steve Barron
859,Steve Buscemi
860,Steve Gomer
861,Steve James
862,Steve Kloves
863,Steve Miner
864,Steve Oedekerk
865,Steve Rash
866,Steve White
867,Steven Baigelman
868,Steven Brill
869,Steven E. de Souza
870,Steven Hilliard Stern
871,Steven Lisberger
872,Steven Soderbergh
873,Steven Spielberg
874,Steven Zaillian
875,Stuart Baird
876,Stuart Gillard
877,Stuart Gordon
878,Stuart Orme
879,Stuart Rosenberg
880,Suri Krishnamma
881,Susan Skoog
882,Susan Streitfeld
883,Susan Warms Dryfoos
884,Susanne Ofteringer
885,Sydney Pollack
886,T. Hee
887,Tad Stones
888,Takeshi Kitano
889,Tamra Davis
890,Taylor Hackford
891,Ted Berman
892,Ted Demme
893,Terry George
894,Terry Gilliam
895,Terry Zwigoff
896,Thaddeus O'Sullivan
897,Theo van Gogh
898,Theodore Witcher
899,Theresa Connelly
900,Thomas Carter
901,Thomas Schlamme
902,Tiffanie DeBartolo
903,Tim Burton
904,Tim Hunter
905,Tim McCanlies
906,Tim Pope
907,Tim Reid
908,Tim Robbins
909,Tim Sullivan
910,Tobe Hooper
911,Toby Shelton
912,Todd Haynes
913,Todd Holland
914,Todd Solondz
915,Todd Verow
916,Tom Berry
917,Tom DeCerchio
918,Tom DiCillo
919,Tom Hanks
920,Tom Holland
921,Tom McLoughlin
922,Tom Noonan
923,Tom Schulman
924,Tom Shadyac
925,Tom Stoppard
926,Tommy Lee Wallace
927,Tomás Gutiérrez Alea
928,Tony Bancroft
929,Tony Randel
930,Tony Richardson
931,Tony Scott
932,Tony Vitale
933,Trevor Nunn
934,Tôru Murakawa
935,Ub Iwerks
936,Ulu Grosbard
937,Vadim Jean
938,Victor Fleming
939,Victor Nunez
940,Victor Salva
941,Vincent Gallo
942,Vincent McEveety
943,Vincente Minnelli
944,Volker Schlöndorff
945,Vondie Curtis-Hall
946,W.S. Van Dyke
947,Walt Disney
948,Walter Hill
949,Walter Lang
950,Walter Murch
951,Warren Beatty
952,Wayne Wang
953,Wes Anderson
954,Wes Craven
955,Wesley Ruggles
956,Whit Stillman
957,Wilfred Jackson
958,William A. Seiter
959,William Cottrell
960,William Dear
961,William Dieterle
962,William Friedkin
963,William Keighley
964,William Peter Blatty
965,William Shatner
966,William Wyler
967,Wim Wenders
968,Wolfgang Petersen
969,Wolfgang Reitherman
970,Woody Allen
971,Yale Strom
972,Yimou Zhang
973,Yves Angelo
974,Yvette Kaplan
975,Zalman King
976,Éric Rohmer
